pattern,pattern_length,frequency,success_rate,next_positions,next_success_rate,bone_count,sample_games
9-6,2,10,1.000,"7,7,7,7,2,2,2,2,2",1.000,4,"cml7vpx6z001g29egyiqg5j8n,cml76ciah004e290ssfvgrsj8,cml769z5a002x290s0wj03ivf,cml7681bv001g290sh33lml2n,cml76664f0000290s3gqdj8dc,cml735665000029agxpt7eyud,cml72c4di061x29l8nd4f50uq,cml72af69061229l8nng8mou0,cml71ompj000029komi2ivnm7,cml71fegf002d29y85mhirn7k"
2-9,2,5,1.000,"6,6,6,6,6",1.000,4,"cml7vpx6z001g29egyiqg5j8n,cml76ciah004e290ssfvgrsj8,cml769z5a002x290s0wj03ivf,cml7681bv001g290sh33lml2n,cml71fegf002d29y85mhirn7k"
6-7,2,5,1.000,"4",0.000,4,"cml7vpx6z001g29egyiqg5j8n,cml7vmtpk000029eg6mvpy3mr,cml76ciah004e290ssfvgrsj8,cml769z5a002x290s0wj03ivf,cml7681bv001g290sh33lml2n"
2-9-6,3,5,1.000,"7,7,7,7",1.000,4,"cml7vpx6z001g29egyiqg5j8n,cml76ciah004e290ssfvgrsj8,cml769z5a002x290s0wj03ivf,cml7681bv001g290sh33lml2n,cml71fegf002d29y85mhirn7k"
6-2,2,5,1.000,"7,7,7",0.667,4,"cml76664f0000290s3gqdj8dc,cml735665000029agxpt7eyud,cml72c4di061x29l8nd4f50uq,cml72af69061229l8nng8mou0,cml71ompj000029komi2ivnm7"
9-6-2,3,5,1.000,"7,7,7",0.667,4,"cml76664f0000290s3gqdj8dc,cml735665000029agxpt7eyud,cml72c4di061x29l8nd4f50uq,cml72af69061229l8nng8mou0,cml71ompj000029komi2ivnm7"
13-17,2,4,0.500,"7,4,7",0.333,4,"cml7x5nlq02pr29egemn38m5k,cml7wbpjr009229egxp7s6qex,cml7w0n7q005729egg3vn0m0r,cml735mxi000q29agjrpalorv"
18-7,2,4,0.500,"17,19,3,20",0.250,4,"cml7x1tzd02o729eglxbqcqif,cml7wzbxg02mp29egot5j4b4t,cml7wl1r900es29egqd9hkza1,cml7vyb3p003n29eg2sdwt0gi"
8-14,2,4,0.000,"25,23,23",0.000,4,"cml7x08tq02ng29eggrzn0saa,cml7w7dxt006o29egx6gcs4l5,cml7vw78v002w29eg6o0ziv6f,cml766te4000q290sjmhz93vi"
2-4,2,4,0.250,"25,9,9,6",0.250,4,"cml7wqsof02i729eg4cshlmm4,cml7wi9m300d929eg2v9h1io5,cml7vz6gq004h29egp8rn259y,cml7vmtpk000029eg6mvpy3mr"
14-18,2,4,0.250,"7,24",0.500,4,"cml7wjh4a00dz29egqh1jcw8g,cml7vyb3p003n29eg2sdwt0gi,cml72af69061229l8nng8mou0,cml71p7ke000q29koye5xmz2y"
9-6-7,3,4,1.000,"4",0.000,4,"cml7vpx6z001g29egyiqg5j8n,cml76ciah004e290ssfvgrsj8,cml769z5a002x290s0wj03ivf,cml7681bv001g290sh33lml2n"
2-9-6-7,4,4,1.000,"4",0.000,4,"cml7vpx6z001g29egyiqg5j8n,cml76ciah004e290ssfvgrsj8,cml769z5a002x290s0wj03ivf,cml7681bv001g290sh33lml2n"
19-13,2,3,1.000,"17,23,17",0.667,4,"cml7x5nlq02pr29egemn38m5k,cml7whq1e00ci29eg416ncqzh,cml7wbpjr009229egxp7s6qex"
7-17,2,3,0.333,"20,3,13",0.333,4,"cml7x1tzd02o729eglxbqcqif,cml7wjh4a00dz29egqh1jcw8g,cml7w7dxt006o29egx6gcs4l5"
19-14,2,3,0.667,"17,9",0.000,4,"cml7wq03402hd29eg3810vbo3,cml7wdn5r009x29eg6m62hmhd,cml7w98uq007k29eg5i6g2vv4"
4-9,2,3,0.333,"6",1.000,4,"cml7wi9m300d929eg2v9h1io5,cml7vz6gq004h29egp8rn259y,cml72c4di061x29l8nd4f50uq"
2-7,2,3,0.667,"11",0.000,4,"cml76664f0000290s3gqdj8dc,cml72af69061229l8nng8mou0,cml71ompj000029komi2ivnm7"
6-2-7,3,3,0.667,"11",0.000,4,"cml76664f0000290s3gqdj8dc,cml72af69061229l8nng8mou0,cml71ompj000029komi2ivnm7"
9-6-2-7,4,3,0.667,"11",0.000,4,"cml76664f0000290s3gqdj8dc,cml72af69061229l8nng8mou0,cml71ompj000029komi2ivnm7"
10-19,2,2,1.000,"13,13",1.000,4,"cml7x5nlq02pr29egemn38m5k,cml7wbpjr009229egxp7s6qex"
17-7,2,2,0.500,"2",0.000,4,"cml7x5nlq02pr29egemn38m5k,cml7w0n7q005729egg3vn0m0r"
10-19-13,3,2,1.000,"17,17",0.500,4,"cml7x5nlq02pr29egemn38m5k,cml7wbpjr009229egxp7s6qex"
