game_id,sequence_length,sequence_positions,sequence_results,bone_count,hit_bone,success_positions,fail_position,pattern_2,pattern_3,pattern_4,created_at
cml7x5nlq02pr29egemn38m5k,8,"10,19,13,17,7,2,15,24","C,C,C,C,B,B,B,B",4,true,"10,19,13,17",7,10-19,10-19-13,10-19-13-17,2026-02-04T11:03:13.598Z
cml7x2uvz02p029eg9cjj33ud,4,"14,13,16,22","B,B,B,B",4,true,"",14,14-13,14-13-16,14-13-16-22,2026-02-04T11:01:03.072Z
cml7x1tzd02o729eglxbqcqif,6,"13,18,7,17,20,22","C,C,B,B,B,B",4,true,"13,18",7,13-18,13-18-7,13-18-7-17,2026-02-04T11:00:15.241Z
cml7x08tq02ng29eggrzn0saa,4,"2,6,8,14","B,B,B,B",4,false,"",2,2-6,2-6-8,2-6-8-14,2026-02-04T10:59:01.166Z
cml7wzbxg02mp29egot5j4b4t,4,"18,7,19,10","C,C,C,C",4,false,"18,7,19,10",,18-7,18-7-19,18-7-19-10,2026-02-04T10:58:18.532Z
cml7wxvhl02lx29egvei8umhg,5,"14,19,18,20,21","C,B,B,B,B",4,true,"14",19,14-19,14-19-18,14-19-18-20,2026-02-04T10:57:10.569Z
cml7wwhyn02l629egk38ru4od,4,"10,3,14,25","B,B,B,B",4,true,"",10,10-3,10-3-14,10-3-14-25,2026-02-04T10:56:06.383Z
cml7wvmqo02kf29egikzcyysp,4,"15,2,16,17","B,B,B,B",4,true,"",15,15-2,15-2-16,15-2-16-17,2026-02-04T10:55:25.920Z
cml7wsz0n02jo29egxc2aw1zt,4,"9,13,15,22","B,B,B,B",4,false,"",9,9-13,9-13-15,9-13-15-22,2026-02-04T10:53:21.863Z
cml7wsj8s02ix29egi0skd31n,4,"19,7,20,10","C,C,C,C",4,false,"19,7,20,10",,19-7,19-7-20,19-7-20-10,2026-02-04T10:53:01.420Z
cml7wqsof02i729eg4cshlmm4,4,"23,2,4,25","B,B,B,B",4,true,"",23,23-2,23-2-4,23-2-4-25,2026-02-04T10:51:40.331Z
cml7wq03402hd29eg3810vbo3,7,"13,19,14,17,6,16,22","C,C,C,B,B,B,B",4,true,"13,19,14",17,13-19,13-19-14,13-19-14-17,2026-02-04T10:51:03.281Z
cml7wo5w802gn29egayd3e9di,4,"10,2,5,15","B,B,B,B",4,true,"",10,10-2,10-2-5,10-2-5-15,2026-02-04T10:49:37.496Z
cml7wlxtd00fk29egdkm0adj9,4,"15,12,13,24","B,B,B,B",4,true,"",15,15-12,15-12-13,15-12-13-24,2026-02-04T10:47:53.713Z
cml7wl1r900es29egqd9hkza1,5,"18,7,3,15,21","C,B,B,B,B",4,true,"18",7,18-7,18-7-3,18-7-3-15,2026-02-04T10:47:12.165Z
cml7wjh4a00dz29egqh1jcw8g,5,"7,17,3,14,18","C,B,B,B,B",4,true,"7",17,7-17,7-17-3,7-17-3-14,2026-02-04T10:45:58.762Z
cml7wi9m300d929eg2v9h1io5,4,"1,2,4,9","B,B,B,B",4,false,"",1,1-2,1-2-4,1-2-4-9,2026-02-04T10:45:02.379Z
cml7whq1e00ci29eg416ncqzh,4,"19,13,23,10","C,C,C,C",4,false,"19,13,23,10",,19-13,19-13-23,19-13-23-10,2026-02-04T10:44:37.010Z
cml7wgex200bn29eg7u7kwlp3,6,"17,10,20,2,12,21","C,C,B,B,B,B",4,true,"17,10",20,17-10,17-10-20,17-10-20-2,2026-02-04T10:43:35.942Z
cml7wf17h00au29egst8bp72s,5,"15,19,16,18,21","C,B,B,B,B",4,true,"15",19,15-19,15-19-16,15-19-16-18,2026-02-04T10:42:31.517Z
cml7wdn5r009x29eg6m62hmhd,7,"20,7,19,14,9,13,25","C,C,C,B,B,B,B",4,true,"20,7,19",14,20-7,20-7-19,20-7-19-14,2026-02-04T10:41:26.655Z
cml7wbpjr009229egxp7s6qex,7,"10,19,13,17,4,6,22","C,C,C,B,B,B,B",4,true,"10,19,13",17,10-19,10-19-13,10-19-13-17,2026-02-04T10:39:56.439Z
cml7w9ru5008b29ega15n30p8,4,"5,11,16,21","B,B,B,B",4,false,"",5,5-11,5-11-16,5-11-16-21,2026-02-04T10:38:26.093Z
cml7w98uq007k29eg5i6g2vv4,4,"18,13,19,14","C,C,C,C",4,false,"18,13,19,14",,18-13,18-13-19,18-13-19-14,2026-02-04T10:38:01.491Z
cml7w7dxt006o29egx6gcs4l5,7,"7,17,13,21,8,14,25","C,C,C,B,B,B,B",4,true,"7,17,13",21,7-17,7-17-13,7-17-13-21,2026-02-04T10:36:34.707Z
cml7w1av6005y29egknoqubdr,4,"3,8,19,24","B,B,B,B",4,false,"",3,3-8,3-8-19,3-8-19-24,2026-02-04T10:31:50.849Z
cml7w0n7q005729egg3vn0m0r,4,"23,13,17,7","C,C,C,C",4,false,"23,13,17,7",,23-13,23-13-17,23-13-17-7,2026-02-04T10:31:20.198Z
cml7vz6gq004h29egp8rn259y,4,"17,2,4,9","B,B,B,B",4,true,"",17,17-2,17-2-4,17-2-4-9,2026-02-04T10:30:11.834Z
cml7vyb3p003n29eg2sdwt0gi,7,"14,18,7,20,12,16,23","C,C,C,B,B,B,B",4,true,"14,18,7",20,14-18,14-18-7,14-18-7-20,2026-02-04T10:29:31.189Z
cml7vw78v002w29eg6o0ziv6f,5,"19,7,8,14,23","C,B,B,B,B",4,true,"19",7,19-7,19-7-8,19-7-8-14,2026-02-04T10:27:52.874Z
cml7vqay7002629eg091dlq0w,4,"1,4,22,23","B,B,B,B",4,false,"",1,1-4,1-4-22,1-4-22-23,2026-02-04T10:23:17.742Z
cml7vpx6z001g29egyiqg5j8n,4,"2,9,6,7","C,C,C,C",4,false,"2,9,6,7",,2-9,2-9-6,2-9-6-7,2026-02-04T10:22:59.916Z
cml7vnk44000q29eg357b5ar5,4,"19,21,24,25","B,B,B,B",4,false,"",19,19-21,19-21-24,19-21-24-25,2026-02-04T10:21:09.652Z
cml7vmtpk000029eg6mvpy3mr,4,"2,4,6,7","C,C,C,C",4,false,"2,4,6,7",,2-4,2-4-6,2-4-6-7,2026-02-04T10:20:35.363Z
cml76ciah004e290ssfvgrsj8,8,"2,9,6,7,4,15,19,23","C,C,C,C,B,B,B,B",4,true,"2,9,6,7",4,2-9,2-9-6,2-9-6-7,2026-02-03T22:32:43.673Z
cml76alnl003n290sxdtt3pmp,4,"8,10,12,17","B,B,B,B",4,false,"",8,8-10,8-10-12,8-10-12-17,2026-02-03T22:31:14.721Z
cml769z5a002x290s0wj03ivf,4,"2,9,6,7","C,C,C,C",4,false,"2,9,6,7",,2-9,2-9-6,2-9-6-7,2026-02-03T22:30:45.551Z
cml768qef0026290sol8vcwka,4,"3,15,20,24","B,B,B,B",4,false,"",3,3-15,3-15-20,3-15-20-24,2026-02-03T22:29:47.559Z
cml7681bv001g290sh33lml2n,4,"2,9,6,7","C,C,C,C",4,false,"2,9,6,7",,2-9,2-9-6,2-9-6-7,2026-02-03T22:29:15.068Z
cml766te4000q290sjmhz93vi,4,"1,8,14,23","B,B,B,B",4,false,"",1,1-8,1-8-14,1-8-14-23,2026-02-03T22:28:18.124Z
